GeneID,GSM2791576,GSM2791580,GSM2791584,GSM2791588
105372633,0.0,0.0,0.0,0.0
100130934,0.0,0.0,0.0,0.0
55713,0.0273,0.01842,0.108,0.004868
7686,0.0,0.0,0.06588,0.0
128506,0.0,0.0,0.1001,0.0
64849,0.5042,0.425,0.7888,0.2729
112858,36.2,40.77,29.91,37.43
81031,0.1937,0.3074,0.2093,0.2235
2139,0.0,0.06334,0.438,0.0
101927355,0.0,0.0,0.0,0.0
100500814,0.0,0.0,0.0,0.0
23613,36.02,26.98,23.97,28.18
100131496,0.2703,0.1899,0.6208,0.3615
101927377,0.04208,0.09461,0.1189,0.07503
102723442,0.0,0.06126,0.0,0.0
8202,10.2,7.057,9.195,10.29
55959,1.653,1.48,1.678,1.606
107985401,0.0,0.0,0.0,0.0
105372636,0.0,0.0,0.0,0.0
105376980,0.0,0.0,0.0,0.0
105372637,0.0,0.0,0.0,0.0
112268266,0.0,0.0,0.0,0.0
101927457,0.0,0.0,0.0,0.0
101060004,0.0,0.0,0.0,0.0
107985436,0.0,0.0,0.0,0.0
107985437,0.0,0.0,0.0,0.0
105372639,0.0,0.0,0.01605,0.0
105372640,0.0,0.0,0.0,0.0
105372641,0.0,0.0,0.0,0.0
284749,0.0,0.0,0.0,0.0
105372643,0.0,0.0,0.0,0.0
105372645,0.0,0.0,0.0,0.0
107985439,0.0,0.0,0.0,0.0
105372647,0.0,0.0,0.0,0.0
105372646,0.0,0.0,0.0,0.0
57580,0.0,0.06316,0.27,0.01002
105372648,0.0,0.0,0.0,0.0
10564,17.88,13.13,13.84,21.27
102723483,0.134,0.0,0.0,0.0
1434,301.5,247.6,272.7,292.2
6780,72.24,59.47,73.33,90.7
55661,106.8,107.1,105.5,125.8
57169,27.97,15.32,25.41,19.8
441951,297.3,141.3,311.4,218.2
26765,5.782,2.166,8.171,0.859
100113393,10.35,2.492,9.401,3.294
692057,25.38,4.754,17.93,10.56
105372649,0.0,0.0,0.08627,0.0
3745,0.0063,0.007082,0.04451,0.0
5740,0.0,0.0,0.07726,0.0
101927486,0.0,0.0,0.0,0.0
105372651,0.0,0.0,0.0,0.0
9334,31.05,19.61,30.03,27.52
105372652,0.06737,0.0,0.0,0.0
23315,4.77,3.209,3.992,3.636
113219455,4.007,0.9008,2.265,2.143
9825,12.23,9.78,11.58,9.555
105372653,0.0,0.2987,0.0,0.1184
55905,91.93,96.8,93.25,121.4
6615,0.7591,0.7529,1.199,1.114
105372654,0.0,0.0,0.0,0.0
100887755,0.0,0.0,0.0,0.0
105372655,0.0,0.0,0.0,0.0
387522,100.6,105.3,100.2,114.6
7335,64.15,69.43,64.68,75.81
387521,9.765,5.374,8.012,4.537
101927512,0.1309,0.09808,0.06165,0.0
101927541,1.08,1.335,0.9156,1.444
101927559,9.295,10.3,9.119,16.87
1051,39.69,48.92,39.81,62.94
107985386,0.0,0.0,0.0,0.0
105372656,0.0,0.0,0.0,0.0
100506115,0.03754,0.0422,0.05305,0.0
284751,0.8021,0.5259,0.5195,0.1787
101927586,0.5752,0.3043,0.2869,0.1206
105372657,0.0,0.0,0.0,0.0
