GeneID,GSM2791577,GSM2791581,GSM2791585,GSM2791589
106635545,0.0,0.0,0.0,0.0
55182,20.09,18.57,17.14,24.99
107984951,0.8329,0.5151,0.2627,1.737
100847089,0.0,0.0,0.0,0.0
107984950,10.88,8.612,8.96,11.8
79639,5.324,4.939,3.765,5.624
109623472,0.0,0.0,0.0,0.0
339541,0.07383,0.03653,0.05588,0.0528
105378690,0.2008,0.06209,0.38,0.1197
26828,0.0,0.0,0.0,0.0
26830,1.154,0.0,0.7276,0.0
11004,116.7,96.34,101.6,112.4
109623476,2.37,4.887,7.974,6.592
6202,2545.0,4166.0,2910.0,3696.0
26811,79.5,41.46,76.69,92.89
94161,7.651,2.184,5.197,1.403
94162,4.874,4.019,6.149,0.9682
94163,26.75,18.61,31.64,24.91
266675,0.1306,0.1414,0.0618,0.05839
1263,11.14,4.997,9.614,6.874
343521,0.4163,0.267,0.4279,0.2756
149478,0.5495,0.1535,0.2683,0.169
107984952,0.1308,0.06471,0.132,0.09352
8643,0.2188,0.1489,0.138,0.1174
8891,34.81,49.58,35.82,41.4
79654,27.48,19.87,17.43,21.36
7389,188.8,253.4,180.3,248.1
57643,0.7843,0.4431,0.4031,0.6693
105378691,0.1852,0.05728,0.146,0.05519
400752,0.2698,0.08344,0.2128,0.0804
84842,0.09694,0.03997,0.0,0.07702
4595,10.72,8.755,10.34,10.87
114034,28.66,29.72,23.54,24.75
10420,5.897,4.46,4.691,7.32
126661,4.331,4.317,4.853,5.647
25974,52.39,95.43,53.95,78.99
5052,924.8,1655.0,1009.0,1377.0
10327,67.1,81.92,60.84,84.82
4678,170.7,210.4,177.6,183.7
149483,0.8419,0.2246,1.145,0.8066
60313,66.9,53.2,46.69,59.17
728963,0.1262,0.4683,0.07961,0.4513
51249,85.55,100.9,87.44,96.06
3652,2.923,3.07,2.147,3.376
105378693,0.0,0.0,0.0,0.0
23139,19.54,13.29,11.19,21.14
105378694,0.0,0.0,0.0,0.0
110117499,3.933,3.318,2.251,3.441
8503,3.898,3.07,2.286,3.408
101929626,0.3213,0.1987,0.0,0.1915
10103,11.52,9.091,9.386,9.552
110117498,0.0,0.0,0.0,0.0
55624,56.23,34.64,40.61,51.39
541468,0.09358,0.07717,0.03935,0.03718
8438,35.27,31.48,31.02,36.39
10489,25.86,21.51,16.99,23.47
7388,727.3,666.8,932.4,863.2
387338,12.3,11.79,9.461,12.16
2166,0.226,0.4193,0.6058,0.202
729041,0.09105,0.5068,0.1723,0.3255
101929651,0.0,0.0,0.0,0.0
127343,0.03344,0.0,0.01406,0.0
105378696,0.0,0.0,0.0,0.0
100507423,1.934,1.78,1.667,2.165
148930,0.0,0.0981,0.0,0.0
8569,4.809,5.015,4.29,5.564
148932,8.289,7.744,4.948,8.221
105378697,0.07073,0.0,0.04461,0.1686
64756,39.51,44.32,40.24,58.39
374973,0.08011,0.0,0.05053,0.0
100130197,10.47,3.543,4.859,6.592
9813,36.48,15.49,21.6,28.07
105378698,1.446,0.3765,0.48,0.9976
105378699,0.0,0.0,0.0,0.0
1580,0.0,0.09841,0.0,0.0
163720,0.0,0.2904,0.0,0.0
1579,0.02088,0.1033,0.0,0.0
260293,0.09746,0.2652,0.07377,0.06969
199974,0.02616,0.09707,0.033,0.0
284541,0.0,0.1267,0.0,0.0
105378701,0.01723,0.02132,0.0,0.0
100874253,0.2618,0.1079,0.2202,0.0
10158,0.06883,0.0,0.1737,0.1641
6886,0.0,0.01922,0.0,0.0
6491,34.82,20.65,27.1,26.38
51727,147.9,102.4,130.0,123.5
102724077,3.349,1.16,1.268,2.235
2301,0.0,0.0,0.04115,0.07776
84793,2.667,1.706,2.204,3.288
2306,0.7623,1.105,0.632,0.623
107984953,0.0,0.0,0.0,0.0
388630,0.0,0.01842,0.006263,0.0
105379778,0.0,0.0,0.0,0.0
391037,0.0,0.0,0.0,0.0
200010,0.0,0.02023,0.0,0.0
54558,0.0116,0.06455,0.01463,0.04837
84871,0.0442,0.07518,0.04879,0.01975
79656,0.03144,0.05186,0.03967,0.01249
105378706,0.0,0.0,0.0,0.0
101929721,0.1003,0.0,0.0,0.0
100874313,0.0,0.0,0.0,0.1337
107984954,0.0,0.0,0.0,0.0
105378708,0.0,0.0,0.0,0.0
1996,0.007029,0.008694,0.0266,0.0
105378709,0.0,0.0,0.0,0.0
107984955,0.0,0.0,0.0,0.0
105378711,0.0,0.0,0.0,0.0
105378710,0.0,0.0,0.0,0.0
105378712,0.0,0.0,0.0,0.0
63950,0.01373,0.0,0.0,0.0
105378714,0.0,0.0,0.0,0.0
11124,21.74,23.77,18.61,24.53
105378715,0.0,0.0,0.0,0.0
112268262,0.2891,0.0,0.2735,0.2584
1031,94.17,92.1,87.45,125.3
100616189,0.0,0.0,0.0,0.0
102466656,0.0,0.0,0.0,0.7993
284546,0.0434,0.2147,0.1642,0.05172
105378716,0.0,0.06031,0.06151,0.0
26994,118.1,28.06,94.47,63.64
22996,0.08968,0.1268,0.03232,0.168
105378717,0.0,0.0,0.0,0.0
102724097,0.0,0.0,0.0,0.0
2060,21.23,17.62,12.51,17.19
105378720,0.02358,0.02916,0.04461,0.04215
441884,0.1588,0.0982,0.05008,0.0
105378719,0.0,0.0,0.0,0.0
114883,45.08,37.22,36.19,43.05
4898,130.4,112.4,99.36,113.5
105378721,52.36,49.02,39.87,45.62
100313892,43.01,26.6,28.36,27.96
5865,0.08339,0.08143,0.04983,0.06277
51060,52.39,66.79,58.85,74.48
112970,17.53,21.89,13.12,17.83
104355143,0.1475,0.3649,0.0,0.0
91408,45.6,60.6,48.19,57.16
107984956,0.2454,0.0,0.0,0.0
9372,8.554,6.596,4.485,8.032
200014,14.04,12.66,7.966,11.84
4998,18.8,13.95,14.45,15.22
84950,33.81,36.59,33.25,38.19
23318,14.29,8.356,8.144,11.31
105378723,0.0316,0.0,0.03987,0.0
2882,0.4224,0.9288,0.592,1.007
348378,0.0,0.04825,0.0,0.0155
65260,39.82,43.38,26.22,42.82
79699,7.736,6.87,3.507,5.989
440590,2.379,1.799,1.612,2.167
55268,5.4,4.048,4.24,4.279
6342,70.42,97.11,57.26,72.17
127435,0.0,0.0,0.0,0.0
6512,0.3954,0.4891,0.1782,0.202
105378724,1.2,1.855,1.135,0.8339
1376,14.3,14.49,8.519,10.75
54987,57.9,74.3,50.19,71.15
4116,231.1,462.5,300.0,389.3
100507564,1.026,1.027,0.5545,0.8149
7804,9.699,7.663,4.814,8.231
105378728,0.6752,0.3944,0.4023,0.7154
105378726,0.1119,0.07648,0.05572,0.1053
105378732,0.4069,0.2517,0.1283,0.1212
105378731,0.03934,0.02433,0.0,0.0
105378730,0.1663,0.05144,0.1574,0.04956
107984957,0.0,0.0,0.0,0.0
163742,0.0,0.0,0.0,0.0
105378733,0.0,0.0,0.0,0.0
63948,0.0,0.03735,0.0,0.0
148979,0.03832,0.0474,0.04028,0.03045
55706,71.97,60.62,62.01,82.87
54432,32.41,31.78,29.15,36.5
1733,0.2479,0.0,0.1955,0.2955
51668,138.3,211.3,179.6,200.6
115353,90.91,114.5,76.08,90.29
388633,0.02427,0.03003,0.0,0.0
9528,58.42,79.64,55.85,72.62
127428,1.726,1.829,1.541,2.247
100616315,0.0,0.0,0.0,0.0
200008,0.0,0.02549,0.05199,0.0
606495,2.046,1.547,1.765,2.96
51253,148.9,175.5,144.1,215.6
23648,13.32,13.46,8.787,13.94
619518,0.08802,0.1633,0.1666,0.1574
105378735,0.0,0.0,0.0,0.0
105378734,0.0,0.0,0.0,0.0
26027,0.0149,0.04608,0.0,0.05327
338094,0.0,0.06947,0.0,0.03347
100527960,7.283,9.26,6.344,8.009
374977,0.01309,0.03238,0.01651,0.0
7268,20.78,25.86,17.92,22.82
25973,9.45,8.206,7.381,7.819
55001,0.0,0.02903,0.0,0.0
163747,0.0,0.02389,0.02437,0.06906
1718,144.5,147.3,82.3,162.1
107984958,0.8359,0.503,0.5985,0.4847
107985760,0.0,0.0,0.0,0.0
105378736,0.0,0.0,0.0,0.0
199964,0.1039,0.09641,0.1967,0.06193
7809,0.005909,0.007309,0.0,0.0
255738,13.12,11.06,5.162,8.71
23358,16.67,13.05,8.071,16.93
100507634,0.9012,0.1742,0.8882,0.3356
109729135,0.0,0.0,0.0,0.0
100616272,0.0,0.0,0.0,0.0
105378740,0.0,0.0,0.0,0.0
105378739,0.0,0.0,0.0,0.0
105378738,0.0,0.0,0.0,0.0
105378737,0.0,0.01458,0.0,0.0
105378741,0.0,0.0,0.0,0.0
105378744,0.2117,0.0,0.1335,0.1261
8613,16.99,15.06,9.67,14.32
101929935,0.0,0.0,0.1485,0.2806
5563,2.914,2.138,2.218,2.962
199920,0.0097,0.036,0.01224,0.0
731,0.0,0.01379,0.01407,0.0
732,0.02155,0.02666,0.0,0.0
105378745,0.0,0.0,0.0,0.0
112267900,0.0,0.007198,0.0,0.0
1600,0.01493,0.05541,0.0,0.0
105378748,0.0,0.0,0.0,0.0
105378747,0.0,0.0,0.0,0.0
101926890,0.0,0.0,0.0,0.0
105378746,0.0,0.0,0.0,0.0
107984960,0.04721,0.0292,0.01985,0.009377
115209,9.546,9.009,10.2,9.53
4070,83.66,100.2,64.57,90.12
114803,3.491,1.909,2.956,3.621
112268263,3.843,1.378,3.115,1.681
105378751,2.373,1.382,1.091,1.625
3725,182.8,159.5,134.5,152.0
100131060,0.1541,0.1271,0.1296,0.3061
101926907,0.625,0.5042,0.4799,0.6153
107984961,0.0,0.0,0.0,0.0
105378753,0.2511,0.1215,0.303,0.2082
101926925,1.837,1.969,1.699,1.605
729467,0.1106,0.0,0.06976,0.0
105378756,0.1901,0.1306,0.2132,0.1259
55277,0.2893,0.3813,0.2692,0.3165
100616409,0.0,0.0,0.0,0.0
101926944,0.0,0.0,0.0,0.0
105378758,0.0,0.0,0.0,0.0
51361,0.4153,0.352,0.2814,0.33
1573,4.912,5.208,4.603,5.285
127795,0.01976,0.04888,0.07478,0.02355
105378760,0.0,0.0,0.0,0.0
107984963,0.0,0.0,0.0,0.0
105378761,0.0,0.0,0.0,0.0
107984962,0.0,0.0,0.0,0.0
107985379,0.0,0.0,0.0,0.0
105378763,0.0,0.0,0.0,0.0
101926964,0.0,0.0,0.03104,0.0
105378764,0.0,0.0,0.0,0.0
100996570,0.145,0.03587,0.03658,0.0
4774,1.989,1.847,1.299,1.864
645030,0.0,0.0,0.0,0.0
105378766,0.0,0.0,0.0,0.0
107984964,0.0,0.0,0.0,0.0
414927,0.0,0.0,0.03856,0.0
83941,42.34,29.38,50.49,41.16
10207,1.053,0.8179,0.5684,1.074
113219465,0.0,0.0,0.0,0.0
107984965,0.0,0.0,0.0,0.0
100422902,0.0,0.0,0.0,0.0
100422946,0.0,0.0,0.0,0.0
54596,0.0,0.0362,0.0,0.0
163782,0.0,0.04637,0.01182,0.0
105378768,0.02992,0.0,0.0,0.0
7398,193.8,183.8,157.4,184.2
85440,12.22,5.958,7.11,7.423
27329,0.0,0.07315,0.04973,0.0
84938,9.751,10.93,9.415,12.05
105378769,0.0,0.0,0.0,0.0
199899,0.03169,0.0392,0.07996,0.03777
105378770,0.0,0.0,0.0,0.0
100996301,7.986,3.639,8.896,5.9
27022,0.3377,0.3899,0.1704,0.5903
102464823,0.0,0.0,0.0,0.0
29929,11.88,11.18,12.76,11.47
23421,12.8,18.09,16.46,17.82
102724319,0.04934,0.0,0.0,0.0
84455,1.283,1.184,1.256,1.175
79469,0.1392,0.04306,0.08782,0.1245
5236,145.0,129.7,105.4,128.4
105378771,0.0,0.03178,0.0,0.0
4919,7.403,4.604,3.125,5.133
105378772,0.0,0.0,0.0,0.0
101927034,0.01669,0.0,0.0,0.0
105378773,0.009974,0.02467,0.0,0.01189
148581,0.0,0.0143,0.01458,0.0
105378774,0.0,0.0,0.0,0.0
107984966,0.0521,0.0,0.0,0.1863
57685,1.825,1.227,1.464,2.343
100616338,0.0,0.0,0.0,0.0
55225,5.13,4.333,3.88,5.803
3716,43.76,29.56,25.41,33.71
101927084,0.0,0.0,0.06743,0.06371
100500854,0.6554,0.0,0.8268,0.7811
406893,0.0,0.0,0.0,0.0
205,24.51,26.57,15.86,28.6
9829,11.86,8.712,5.255,8.514
102724416,0.0376,0.05813,0.02371,0.03361
112268227,0.2477,0.09428,0.1322,0.1363
3953,4.977,2.678,3.422,4.231
54741,50.59,35.64,39.71,40.73
5142,1.111,0.7383,0.6024,0.58
101927139,0.0,0.0,0.0,0.0
105378776,0.1593,0.1971,0.0,0.0
84251,0.02953,0.07304,0.006208,0.005865
100422871,0.0,0.0,0.0,0.0
200132,0.0,0.05348,0.0,0.0
10022,0.0,0.09936,0.0,0.0
79819,0.08127,0.2346,0.1367,0.0
57708,21.91,16.12,15.88,18.2
23169,4.912,3.323,2.847,5.763
400757,0.0,0.05362,0.0,0.0
149233,0.0,0.02045,0.02086,0.0
3595,0.06434,0.1857,0.09469,0.115
105378779,0.1696,0.6295,0.856,0.8087
26135,189.5,227.0,168.9,217.0
102724481,0.0,0.0,0.0,0.0
105378780,0.0,0.0,0.0,0.0
